系統,経由地,出発時刻,到着時刻
高速,東京駅(東雲車庫行),5:01,6:34
高速,東京駅（東京駅着）,6:11,7:27
高速,東京駅（東雲車庫行）[ﾌﾗﾜｰﾊﾞｽ],7:03,8:22
高速,東京駅（東京駅着）,8:26,9:47
高速,東京駅（東京駅着）,10:06,11:22
高速,東京駅（大江戸温泉物語着）,12:31,13:42
終了,本日の高速バスは以上です,-----,-----
終了,-----,-----,-----,-----,-----,-----
終了,-----,-----,-----
